title,description,reviews,ratings
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,good productREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Really I was in impression of that Voltas having good service and solution but in my case after installation of AC gas has been leaked, and service team they are taking their own time to fix this whereas as an customer and considering the peak of summer really it’s very hard to manage without an AC is very difficult specially when you have guest so that my rating would be 000READ MORE",1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Excellent 👍 Delivery 🚚 just in 12 hrs , recent I buy this product and it is very good 👍😊READ MORE",4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Nice product by TataREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,OkREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Very very good i am happy ☺️❤️READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Very very good Ac nice cooling I am so happyREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Value For MoneyREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"AC received without copper coil and basic installation kit. Reported to Flipcart, a replacement request was opened but closed automatocally without giving any reason. So I have spend extra money on basic installation kitREAD MORE",1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Damaged product recievedREAD MORE,1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Good qualityREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Installetion men not trained,  they damage wall and palmet road..... Some work done by me but charged taken full....... I am not satisfied from install men workREAD MORE",4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Nice coolingREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Very good product from Voltas cooling system was really amazing also delivery was on time but installation time was too long. after 6 days my ac was installed by Voltas technitian also I paid extra 300 for core drilling ( total installation cost 1500) otherwise product was very good.READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Product quality design, cooling effect, features are very good. Some accessories you need to purchase separately like drain pipe, plug pin, power supply very short. Otherwise cooling effect, air flow, compressor noise and other features are very excellent in voltas 1.5 ton Ac.READ MORE",4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Nice product. I have got it @very economical price. Installation done by Voltas itself and highly satisfactory. I highly  recommend to purchase this product without any hesitation.READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,1. Quick Delivery.2. Excellent Quality Product.3. Smooth Installation.4. No any hidden charge.5. Overall excellent experience.READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Design may be more attractive, remote is too large n bulkyREAD MORE",5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,I like this product very much 🤩READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Everything is good 😊I think remote shuld have light built inAnd it should have better protective coatingREAD MORE,4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Nyc product buy mustREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Need improvement in built quality. Installation done in time, but the service was not good and ruff handling of instrument during installation. Cooling issues, multiple time service makes new device into worthless product..this time TATA product.ohmg disappointedREAD MORE",1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Colling is goodREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Best A.CVoltas always bestREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Don't buy Voltas. Terrible after sales service.1. Water dripping on second day2. Gas leak within one week3. Service center refilled gas leaked again4. Now changing parts in a brand new AC5. Customer care doesn't understand keep repeating the same6. My home is like Voltas AC debugging facility now.DONT BUY AT ALL...READ MORE,1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Inspite of heavy demand delivery was almost on time, installation was done on time, this is a product of TATA so no need to worry about quality, if you are looking for a best budget 1.5 ton AC just go for it, superb cooling and almost no sound at allREAD MORE",5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Worst buyREAD MORE,1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Was okREAD MORE,3
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"It's a wonderful machine, which is unbelievable. Purchased @ INR 33624 in the month Jun 2022 . Wrothy , Value for Money . Installation  charges are separatly charged which is very nominalREAD MORE",1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Very good ACREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Simply awesome product..liked itREAD MORE,4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,AwesomeREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,It is worth it. Low consumption of electricity. Super cooling.READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,The product is very good but installation man are make more money charge and not good behaviour.READ MORE,1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Voltas is good company if you want to purchase ac you have to pick only voltas .READ MORE,5
